loss_name,pic_name,answers
DRSL3_0_6,car_0861.jpg,"['A red and white car parked in a parking lot.', 'A red and white car parked in front of a building.', 'A red and white car parked in front of a brick building.', 'A red and white car parked in front of a brick building.', 'A red and white truck parked in front of a brick building.', 'A red and white truck parked in front of a brick building.', 'A red and white truck parked in front of a brick wall.', 'A red truck with a red roof and a blue and white car.', 'A red truck with a red roof and a blue and white checkered sticker.', 'A red truck with a red roof and a blue and white sticker on it.', 'A red truck with a red sticker on it.']"
DRSL3_0_6,airplane_0312.jpg,"['A large passenger jet flying through the sky.', 'A plane is flying in the sky with a sky background.', 'A plane is sitting on the ground in the air.', 'A man sitting on a bed with a laptop.', 'A person sitting on a bed with a laptop.', 'A man sitting on a bed with a cat.', 'A dog laying on a bed with a cat on it.', 'A dog laying on the floor next to a cat.', 'A dog laying on the floor next to a stuffed animal.', 'A dog laying on a bed with a stuffed animal.', 'A dog laying on the floor next to a stuffed animal.']"
DRSL3_0_6,person_0143.jpg,"['A young girl wearing a red shirt and a blue skirt.', 'A man wearing a hat and a tie.', 'A man in a suit and tie standing next to a wall.', 'A man in a suit and tie standing next to a wall.', 'A man with a beard standing next to a white wall.', 'A man with a beard is standing in front of a large cake.', 'A man with a beard is holding a cake.', 'A piece of cake with a spoon on it.', 'A pan of food on a table with a knife.', 'A pan of food with a spoon in it.', 'A bowl of food with a spoon in it.']"
DRSL3_0_6,flower_0662.jpg,"['A white vase with a flower in it.', 'A close up of a flower in a flower vase.', 'A large white bird sitting on top of a green plant.', 'A large green plant in a green field.', 'A large green plant in a field with trees in the background.', 'A large tree in the middle of a field.', 'A large tree in the middle of a field.', 'A large metal object sitting on top of a pile of hay.', 'A large tree in the middle of a field.', 'A large metal object sitting on top of a pile of dirt.', 'A large pile of dirt on top of a wooden pole.']"
DRSL3_0_6,car_0503.jpg,"['A car parked in front of a parked motorcycle.', 'A large white car parked in front of a large mirror.', 'A large white car sitting on top of a table.', 'A large piece of luggage sitting on top of a table.', 'A suitcase with a picture of a person on it.', 'A large piece of luggage sitting on top of a table.', 'A pair of scissors sitting on top of a white towel.', 'A pair of scissors sitting on top of a white towel.', 'A white teddy bear sitting on a white surface.', 'A white vase with a white and blue pattern on it.', 'A white vase with a white and blue pattern on it.']"
DRSL3_0_6,cat_0644.jpg,"[""A cat is sitting on a person's lap."", 'A white cat sitting on a white pillow.', 'A small white dog wearing a hat.', 'A small white bear standing in the snow.', 'A small white bear standing in the snow.', 'A small white bear standing in the snow.', 'A polar bear is standing in the snow.', 'A polar bear is standing in the snow.', 'A polar bear is standing in the snow.', 'A polar bear is standing in the snow.', 'A polar bear is standing in the snow.']"
DRSL3_0_6,motorbike_0536.jpg,"['A motorcycle parked in a parking lot with a large amount of dirt.', 'A motorcycle parked in front of a large building.', 'A motorcycle parked in front of a large building.', 'A motorcycle parked in front of a large tree.', 'A motorcycle with a large red and white flower on it.', 'A motorcycle with a large red and white flower on it.', 'A motorcycle with a large, colorful flower on it.', 'A motorcycle with a large flower in it on a table.', 'A large red and white flower in a vase.', 'A large red and white flower in a vase.', 'A large red and white flower in a vase.']"
DRSL3_0_6,fruit_0306.jpg,"['A bird is flying in the air with a ball in its mouth.', 'A close up of a bird with a green background.', 'A close up of a bowl of fruit on a table.', 'A bowl of soup with a spoon in it.', 'A bowl of soup with a spoon in it.', 'A bowl of soup in a bowl with a spoon.', 'A bowl of soup in a bowl with a spoon.', 'A bowl of soup with a spoon in it.', 'A bowl of soup with a spoon in it.', 'A bowl of soup in a bowl with a spoon.', 'A bowl of soup with a spoon in it.']"
DRSL3_0_6,car_0239.jpg,"['A car is parked on the street with a dog.', 'A car is parked in front of a red and white car.', 'A white and black motorcycle parked in a parking lot.', 'A white and black motorcycle parked in a parking lot.', 'A white and black motorcycle parked in a garage.', 'A white and blue motorcycle parked in a garage.', 'A white and blue motorcycle parked in a garage.', 'A white and blue motorcycle parked in a room.', 'A white and blue motorcycle sitting on top of a wooden table.', 'A white and blue motorcycle sitting on a wooden floor.', 'A white and blue motorcycle sitting on a table.']"
DRSL3_0_6,fruit_0670.jpg,"['A close up of a large apple on a table.', 'A close up of a banana on a tree.', 'A close up of a banana on a tree.', 'A large yellow bird sitting on top of a yellow banana.', 'A kite is flying in the sky with a parachute.', 'A kite is flying in the sky with a person in the background.', 'A kite is flying in the sky with a parachute.', 'A kite is flying in the sky above a person.', 'A kite is flying in the sky above the ocean.', 'A kite is flying in the sky above the clouds.', 'A group of people flying kites in the sky.']"
