loss_name,pic_name,answers
DRSL3_0_6,car_0391.jpg,"['A truck parked in a parking lot next to a building.', 'A red truck parked in a parking lot.', 'A large red and white bus parked in a parking lot.', 'A large red and white school bus parked in a room.', 'A large yellow school bus sitting on top of a table.', 'A small toy truck sitting on top of a table.', 'A small toy is sitting on a desk.', 'A toy toy is sitting on a desk.', 'A toy dog sitting on top of a computer desk.', 'A toy cat sitting on top of a computer keyboard.', 'A toy toy is sitting on a desk.']"
DRSL3_0_6,cat_0615.jpg,"['A cat is standing on a floor with a pair of shoes.', 'A cat is sitting on a white surface.', 'A cat is sitting on a bed with a white blanket.', 'A cat is sleeping on a bed with a white blanket.', 'A cat is sleeping on a bed with a pillow.', 'A cat is sleeping on a bed with a pillow.', 'A cat laying on a bed in a room.', 'A cat laying on top of a bed.', 'A cat sleeping on a bed with a pillow.', 'A cat sleeping on a bed with a stuffed animal.', 'A black and white cat sleeping on a bed.']"
DRSL3_0_6,fruit_0537.jpg,"['A large bird sitting on top of a metal pole.', 'A close up of a red and white bird.', 'A large, colorful, and colorful flower in a vase.', 'A vase with a flower in it on a table.', 'A vase with a flower in it on a table.', 'A vase with a flower in it on a table.', 'A vase with a flower in it on a table.', 'A vase with a flower in it on a table.', 'A glass of orange juice next to a bottle of water.', 'A glass of orange juice next to a bottle of water.', 'A glass of orange juice next to a bottle of water.']"
DRSL3_0_6,motorbike_0640.jpg,"['A motorcycle parked in front of a building with a large number of lights.', 'A motorcycle parked in front of a building with a large metal fence.', 'A row of motorcycles parked next to each other.', 'A row of motorcycles parked next to each other.', 'A row of parked motorcycles parked next to each other.', 'A row of wooden benches with a bunch of bikes.', 'A row of bicycles are stacked on top of each other.', 'A row of wooden benches with a bunch of different colored teddy bears.', 'A bunch of different colored teddy bears on a table.', 'A bunch of different colored teddy bears on a table.', 'A bunch of different colored teddy bears on a table.']"
DRSL3_0_6,car_0699.jpg,"['A red and white car is parked in a parking lot.', 'A red and white car with a red and white stripe on it.', 'A toy car with a red and blue design on it.', 'A toy elephant with a red and yellow design on it.', 'A toy elephant with a red and white background.', 'A toy elephant statue sitting on top of a table.', 'A large elephant statue sitting on top of a table.', 'A teddy bear is sitting on a table.', 'A teddy bear is sitting on a table.', 'A teddy bear is sitting on a table.', 'A large teddy bear sitting on top of a wooden table.']"
DRSL3_0_6,cat_0674.jpg,"[""A cat is sitting on a desk with a cat on it's head."", 'A cat is sitting in a bathroom sink.', 'A cat is sitting in a sink in a bathroom.', 'A cat is sitting in a bowl in a kitchen.', 'A cat is sitting in a bowl in a kitchen.', 'A cat is sitting in a bowl of food.', 'A cat is sitting in a bowl in a kitchen.', 'A cat is eating from a bowl in a kitchen.', 'A cat is eating from a bowl in a kitchen.', 'A white cat drinking from a bowl of food.', 'A white cat drinking from a bowl in a kitchen.']"
DRSL3_0_6,cat_0468.jpg,"['A cat is sitting on a couch with a book.', 'A cat is sitting on a wooden floor.', 'A cat is standing on a wooden floor.', 'A black and white cat is standing in a hay covered field.', 'A black and white cat is standing in a field.', 'A black and white cat standing on top of a dirt ground.', 'A black and white cat standing in a pond.', 'A black and white cat standing in a pond.', 'A black and white cat standing in the water.', 'A black and white cat standing on top of a body of water.', 'A black and white cat standing in the water.']"
DRSL3_0_6,fruit_0674.jpg,"['A close up of a person holding a knife in their hand.', 'A large red and white bird sitting on top of a wooden table.', 'A large red flower in a vase on a table.', 'A large red flower in a green vase.', 'A large red plant in a green vase.', 'A large green plant in a green vase.', 'A vase with a flower in it on a tree.', 'A large green plant in a green vase.', 'A vase with a flower in it on a table.', 'A vase with a flower in it in a vase.', 'A vase with a flower in it in a vase.']"
DRSL3_0_6,cat_0704.jpg,"['A cat is sleeping on a blanket with a stuffed animal.', 'A cat is sitting on a couch with a pillow.', 'A cat is sitting on a couch with a book.', ""A cat sitting on a couch with a book on it's head."", 'A cat sitting on a chair in a room.', 'A black and white cat sitting on a chair.', 'A black and white cat sitting on a wooden bench.', 'A black and white cat sitting on a brick wall.', 'A black and white cat standing on a wall.', 'A black and white cat standing on a wall.', 'A cat standing in front of a mirror in a bathroom.']"
DRSL3_0_6,person_0415.jpg,"['A woman in a dress is smiling and holding a cell phone.', 'A man and a woman are standing together in a room.', 'A man and a boy are playing with a toy.', 'A man and a baby are playing with a toy.', 'A boy and a girl are playing with a toy.', 'A baby boy is sleeping with a baby boy.', 'A baby boy is playing with a baby elephant.', 'A baby is eating a baby bear.', 'A baby is feeding a baby bear with a spoon.', 'A baby is eating a piece of cake.', 'A baby is feeding a baby bear with a spoon.']"
