loss_name,image,answers
DRSL3,cat_0261.jpg,"['The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'This is a picture of a cat.', 'The cat is looking at the camera.', 'The cat has green eyes.', 'The cat is looking at the camera.', 'The man is riding a skateboard.', ""This is a picture of a woman's face in front of a green wall. The woman's face is in front of a green wall. The"", 'This is a picture of a man riding a skateboard.', 'This is a picture of a cat.']"
DRSL3,person_0490.jpg,"['The woman is holding a microphone in front of her face.', 'The woman is looking at the camera.', 'The woman is looking at the microphone.', 'This is a picture of a man riding a skateboard.', 'The woman is holding a cell phone.', 'This is a picture of a man standing in front of a wall. The man is wearing a white shirt and black pants. He is holding a', 'This is a picture of a girl standing in front of a wall.', 'The image is of a man riding a skateboard.', 'This is a picture of a woman standing in front of a brick wall. She is wearing a brown dress with a brown belt and brown shoes.', 'This is a picture of a green wall with a bunch of green plants in front of it. It is a picture of a green wall with a', 'The image is of a woman standing in front of a brick wall with a brick wall in front of her. The brick wall has a brick wall']"
DRSL3,car_0326.jpg,"['The car is blue and has the words magic written on it.', 'This is a picture of a car.', 'The car is parked in front of a building.', 'This is a picture of a man sitting on a couch.', 'This is a picture of two people looking at each other.', 'This is a picture of a baby in a car seat.', 'The cat has blue eyes.', 'The image is of a man lying down with his head in his hands.', 'The image is of a man with a beard.', 'This is a picture of a car.', 'This is a picture of an elephant with the word war written on it.']"
DRSL3,person_0160.jpg,"['a man in a suit and tie', 'The man is looking at the camera.', 'The man is wearing a red tie.', 'The man is riding a skateboard.', 'The man is looking at the camera.', 'The image is of a man speaking into a microphone.', 'This is a picture of a man riding a skateboard.', 'The sky is filled with stars.', 'this is a picture of a person on a skateboard', ""This is a picture of a man's face."", ""This is a picture of a man's face.""]"
DRSL3,dog_0151.jpg,"['The dog is looking at the camera.', 'The dog is looking at the camera.', 'The dog is sitting on the ground.', 'The picture is of a dog.', 'The elephant is holding a key.', 'The cat is looking at the camera.', 'This is a picture of a dragon.', 'This is a picture of a dog.', 'This is a picture of a dragon.', 'This is a picture of a dragon.', 'The image is of a cup of coffee.']"
DRSL3,cat_0026.jpg,"['The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat on the left has blue eyes and the cat on the right has brown eyes.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a car parked in a parking lot.', 'This is a picture of a room with a couch, a table, a chair, a desk, a chair, a couch, a table,', 'This is a picture of a store.', 'This is a picture of a group of people standing in front of a building.', 'The sky is blue.', 'This is a picture of a skateboard.']"
DRSL3,fruit_0025.jpg,"['This is a picture of an avocado.', ""This is a picture of a man's face."", 'This is a picture of a frisbee.', 'This is a picture of a lollipop.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a woman standing in front of a wall.', 'This is a picture of a man with his mouth open.', 'This is a picture of a fruit.', 'the man is standing on the roof of the house', 'This is a picture of a girl standing in front of a wall. The girl is wearing a white dress and has her hands on the wall.', 'This is a picture of a man riding a skateboard.']"
DRSL3,car_0943.jpg,"['Audi tt coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe', 'The car is parked in front of a building.', 'This is a picture of a car.', 'The car is parked in front of a building.', 'The car is parked in front of a building.', 'This is a picture of a camera.', 'The car is parked on the side of the road.', 'The man is riding a skateboard.', 'This is a picture of a man lying on the ground.', 'This is a picture of a ring.', 'This is a picture of a clock.']"
DRSL3,airplane_0313.jpg,"['The plane is in the air.', 'The plane is in the air.', 'This is a picture of a plane.', 'The plane is in the air.', 'This is a picture of a plane.', 'This is a picture of a man in the water.', 'The woman is sitting on the elephant.', 'This is a picture of a man and a woman sitting in a boat.', 'This is a picture of a cat on a swing.', 'This is a picture of a boat in the sky.', 'This is a picture of a man on a skateboard.']"
DRSL3,car_0509.jpg,"['Acura', 'The car is parked on the side of the road.', 'The picture is of a car.', 'This is a picture of a man riding a skateboard.', 'The car is parked on the side of the road.', 'This is a picture of a car.', 'This is a picture of a skateboarder riding a skateboard.', 'This is a picture of a car.', 'The man is riding a skateboard.', 'This is a picture of a bus.', 'This is a picture of a man riding a surfboard in the ocean.']"
DRSL3,car_0045.jpg,"['Acura', 'The car is parked in front of a building.', 'The car is parked on the side of the road.', 'The car is parked in front of a building.', 'The car is in the air.', 'The picture is of a cat and a dog.', 'It is a picture of a cat.', 'This is a picture of a car.', 'The picture is of a woman holding a sign that says, ""I love you.""', 'This is a picture of a man riding a skateboard.', 'This is a picture of a skateboarder riding a skateboard.']"
DRSL3,person_0177.jpg,"['The man in the photo is wearing a necktie.', 'The man is looking at the camera.', ""The man is looking at the woman's face."", 'The man is looking at the camera.', 'This is a picture of a child.', 'The image is of an angel.', 'The skateboarder is riding a skateboard.', 'The man is holding a sword.', 'The image is of a cat.', ""The image is of a man's face."", 'This is a picture of a man.']"
DRSL3,airplane_0143.jpg,"['This is a picture of a plane.', 'This is a picture of a plane.', 'This is a picture of a sign.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a group of people standing on the side of the road.', 'This is a picture of a gas station.', 'The man is riding a skateboard.', 'This is a picture of a group of people walking on the sidewalk.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a group of sheep.', 'The sky is blue and the clouds are white.']"
DRSL3,car_0409.jpg,"['The car is parked in front of a building.', 'The car is parked in front of a building.', 'The picture is of a car.', 'The picture is of a man sitting on the back of a car.', 'This is a picture of a man riding a bike.', 'This is a picture of a car.', 'This is a picture of a group of people sitting on the back of a motorcycle.', 'The sky is blue.', 'This is a picture of a man sitting on a couch.', 'This is a picture of a group of people.', 'This is a picture of a train.']"
DRSL3,dog_0358.jpg,"['The person is holding a black dog.', 'The man is holding the dog.', 'The dog is looking at the camera.', 'The dog is holding a bone in its mouth.', 'This is a picture of a dog.', 'The picture is of a goat.', 'The picture is of a group of horses.', 'The horse is looking at the camera.', 'This is a picture of a man riding a skateboard.', '', 'This is a picture of a cat.']"
DRSL3,dog_0542.jpg,"['The dog is standing in the grass.', 'The dog is standing on the grass.', 'This is a picture of a cat.', 'The dog is playing with a shoe.', 'The dog is looking at the horse.', 'The dog is looking at the camera.', 'The sky is blue.', 'The dog is standing in the grass.', 'The man is riding a skateboard.', 'This is a picture of an elephant.', 'This is a picture of a man riding a skateboard.']"
DRSL3,person_0305.jpg,"['The woman is holding a tennis racket.', 'The woman is holding a tennis racket.', 'The girl is looking at the camera.', 'The man has a mustache.', ""The image is of a man's face."", 'The sky is blue.', 'This is a picture of a man with his hands on his head.', 'The woman is looking at the camera.', 'The man is riding a skateboard.', 'This is a picture of an owl.', 'The man is looking at the camera.']"
DRSL3,fruit_0436.jpg,"['This is a picture of a strawberry.', 'The pear is sitting on a table.', 'This is a picture of a strawberry.', 'This is a picture of a fruit.', 'This is a picture of a pine cone.', 'The image shows a map of australia', 'The picture is of an artichoke.', 'I love you.', 'The pear is sitting on top of a table.', 'The picture is of a bird.', 'This is a picture of an apple.']"
