loss_name,image,answers
DRSL3,cat_0261.jpg,"['The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'The cat is looking at the camera. The cat is looking at the camera. The cat is looking at the camera. The cat is looking at', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'The cat is looking at the camera.', 'The kitten is looking at the camera.', 'This is a picture of a man riding a skateboard.']"
DRSL3,person_0490.jpg,"['The woman is holding a microphone in front of her face.', 'The woman is looking at the camera.', 'The woman is looking at a book.', 'This is a picture of a cat.', 'This is a picture of a baby.', 'This is a picture of a bowl.', 'The sky is blue and the sun is in the middle of the picture.', 'This is a picture of a woman standing in front of a wall.', 'This is a picture of a girl standing in front of a wall. The girl is wearing a white dress with a green border. The dress is', 'This is a picture of a girl holding a bunch of flowers in her hands. She is standing in front of a green wall with a bunch of', 'This is a picture of a man on a skateboard. He is riding a skateboard with yellow wheels. He is wearing a yellow shirt and']"
DRSL3,car_0326.jpg,"['The blue car is a 1994 honda accord coupe. The blue car is a 1994 honda accord coupe. The blue car is a', 'This is a picture of a car.', 'The car is parked in front of a building.', 'The picture is of a car.', 'The picture is of a car parked on the side of the road.', 'This is a picture of a car.', 'This is a picture of an elephant.', 'This is a picture of a dog sitting on the back of a car.', 'The sky is blue, the clouds are white, the sun is yellow, the moon is orange, the clouds are orange, and the sky is', 'This is a picture of a couch.', 'This is a picture of a man flying a kite on a windy day.']"
DRSL3,person_0160.jpg,"['the man is wearing a suit and tie', 'The man is looking at the camera.', 'The image is of a man speaking into a microphone.', 'The man is looking at the camera.', 'The man is looking at the camera.', 'The image is of a man.', 'The man is looking at the camera.', 'This is a picture of a woman standing in front of a wall.', 'This is a picture of a skateboarder riding a skateboard.', 'The man is looking at the camera.', 'The man is wearing a red tie.']"
DRSL3,dog_0151.jpg,"['The dog is looking at the camera.', 'The dog is looking at the camera.', 'The dog is sitting on the ground.', 'This is a picture of a man on a skateboard.', 'The dog is looking at the camera.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a wall with a bunch of pillows in front of it. The pillows are yellow and the wall is brown.', 'This is a picture of a girl standing in front of a green wall. The girl is wearing a green dress and has brown hair and brown eyes', 'The image is of a woman standing in front of a patterned wall.', 'The image is of a girl standing in front of a wall. The girl is wearing a white dress and has her hands on the wall. The', 'The image is of a woman wearing a brown dress with a brown belt and brown shoes. The image is of a woman wearing a brown dress with']"
DRSL3,cat_0026.jpg,"['The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'The sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue', 'This is a picture of a skateboarder riding a skateboard.', 'The man is riding a skateboard.', 'This is a picture of a girl standing in front of a wall. The girl is wearing a white dress and has her hands on her hips.', 'This is a picture of a plane flying over the ocean. The plane is flying over the ocean. The plane is flying over the ocean. The', 'This is a picture of a car parked in a parking lot.', 'This is a picture of a plane flying over the world.', 'This is a picture of a wall with a bunch of pillows in front of it. The pillows are in front of the wall and the']"
DRSL3,fruit_0025.jpg,"['This is a picture of an avocado.', ""This is a picture of a man's face."", 'This is a picture of a frisbee.', 'This is a picture of a donut.', 'This is a picture of a man holding an umbrella.', 'This is a picture of a woman standing in front of a camel.', 'The woman is standing in front of a window.', 'This is a picture of a person.', 'This is a picture of a woman standing in front of a patterned wall. The patterned wall is made up of brown and white squares.', 'This is a picture of a girl standing in front of a green wall. The girl is wearing a green dress and has her hair in a bun', 'This is a picture of a girl holding a bunch of pillows in front of her. The girl is holding a bunch of pillows in front']"
DRSL3,car_0943.jpg,"['Audi tt coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe', 'The car is parked on the side of the road.', 'The car is parked in front of a building.', 'This is a picture of a car.', 'This is a picture of a car parked on the side of the road.', 'The image is of a man riding a skateboard.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a man on a skateboard.', 'The image shows a pattern of yellow dots on a white background. The yellow dots are arranged in concentric circles. The yellow dots are arranged in', 'This is a picture of a wall with a bunch of yellow and brown dots on it. It is a picture of a wall with a bunch of', 'This is a picture of a girl standing in front of a brick wall. The girl is wearing a white dress and has brown hair and brown eyes']"
DRSL3,airplane_0313.jpg,"['The picture is of an airplane flying in the sky.', 'The picture is of a plane flying in the sky.', 'The plane is in the air.', 'This is a picture of a boat in the water.', 'The picture is of a plane flying in the sky.', 'This is a picture of a man on a skateboard. The man is holding a skateboard in his left hand. The man is wearing a', 'This is a picture of a plane in the sky.', 'The image shows a group of people standing in front of a wall.', 'This is a picture of a snowboarder on a snowboard.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a church.']"
DRSL3,car_0509.jpg,"['Acura', 'The car is parked in front of a building.', 'The picture is of a car.', 'The picture is of a car.', 'This is a picture of a man playing a game of softball.', 'The car is parked on the side of the road.', 'This is a picture of a man riding a skateboard.', 'This is a picture of a woman standing in front of a wall with a bunch of pillows in front of her.', 'This is a picture of a girl standing in front of a wall. The girl is wearing a white dress and has her hands on her hips.', 'The image is a picture of a girl wearing a green dress with a white background. The girl is standing in front of a green wall with a', 'This is a picture of a girl wearing a white dress. The dress is made of white fabric. The girl is standing in front of a wall']"
