loss_name,pic_name,answers,meteor_socres
CE,car_0001.jpg,"['A white car parked in a parking lot next to a white car.', 'A white and red truck with a red and white stripe on the front.', 'A large red and white truck with a large red and white stripe on it.', 'A group of motorcycles parked on a carpet.', 'A group of people standing around a table with a bunch of different colored hats on it.']","[1, 0.1773, 0.1761, 0.1481, 0.1736]"
CE,car_0002.jpg,"['A white car parked in a parking lot.', 'A car is parked in a parking lot with a truck in the background.', 'A truck with a large group of people on it.', 'A group of people standing next to a truck.', 'A group of people standing around a truck with a large group of umbrellas.', 'A group of people standing around a large group of motorcycles.', 'A group of people standing around a large group of elephants.']","[1, 0.5542, 0.163, 0.1648, 0.1562, 0.1613, 0.1613]"
CE,car_0003.jpg,"['A car is parked in front of a building.', 'A car is driving down a street with a car on the road.', 'A motorcycle is driving down a road with a car.', 'A motorcycle is driving down a dirt road.', 'A motorcycle is driving down a dirt road.', 'A motorcycle rider is riding on the back of a motorcycle.', 'A man riding a motorcycle on a track.', 'A man on a horse is jumping in the air.']","[1, 0.2404, 0.2475, 0.202, 0.202, 0.3647, 0.1515, 0.2475]"
CE,car_0008.jpg,"['A car is parked in front of a building.', 'A white car is parked in a parking lot.', 'A red and white motorcycle parked in a parking lot.', 'A motorcycle with a red seat and a red seat.', 'A motorcycle with a helmet on is shown on a motorcycle.', 'A toy toy elephant is sitting on a toy bike.']","[1, 0.6347, 0.3683, 0.1485, 0.1961, 0.198]"
CE,car_0009.jpg,"['A car is parked in the middle of the road.', 'A red and white car is driving down the street.', 'A red and white bus parked next to a wall.', 'A large red and white bus parked next to a building.', 'A row of buses parked next to each other.', 'A row of urinals on a wall with a bunch of stickers on them.']","[1, 0.3382, 0.1364, 0.1351, 0.1835, 0.1316]"
CE,car_0014.jpg,"['A car is parked in a parking lot with a large car.', 'A white and black car parked on a street.', 'A white and red truck parked on a dirt road.', 'A white and blue motorcycle parked on a carpet.', ""A close up of a person's hand on a bed.""]","[1, 0.1969, 0.1563, 0.1575, 0.155]"
CE,car_0015.jpg,"['A car parked in a parking lot next to a street.', 'A white truck parked in a parking lot.', 'A white truck parked in a parking lot.', 'A white truck with a red and black seat.', 'A small white truck with a red seat.', 'A black and white photo of a motorcycle.', 'A black and white cat laying on a blanket.']","[1, 0.4893, 0.4893, 0.1271, 0.1282, 0.1282, 0.1271]"
CE,car_0016.jpg,"['A car is parked in the middle of the road.', 'A white car parked in front of a building.', 'A white truck parked in front of a building.', 'A large white and blue truck parked in front of a building.', 'A large airplane parked in a hangar with a large propeller plane.', 'A large airplane parked in a hangar with a large propeller plane.', 'A large airplane sitting on top of a hangar.']","[1, 0.3912, 0.3413, 0.3321, 0.2818, 0.2818, 0.1376]"
CE,car_0017.jpg,"['A white car parked in a parking lot with a large window.', 'A truck with a large red and white truck on the side of the road.', 'A truck with a large amount of dirt on it.', 'A large elephant in a river with a large elephant in the background.']","[1, 0.3843, 0.3484, 0.437]"
CE,car_0020.jpg,"['A car is parked in front of a building.', 'A large white truck parked in a parking lot.', 'A large truck with a large tire on it.', 'A large truck with a large tire on it.', 'A large truck with a large amount of dirt on it.', ""A large elephant with a large elephant in it's mouth.""]","[1, 0.372, 0.15, 0.15, 0.1961, 0.1961]"
