loss_name,pic_name,answers,meteor_socres
CE,cat_0000.jpg,"[""A cat is sitting on a bed with a cat on it's head."", 'A cat is sitting on a wooden bench.', 'A cat is sitting on a wooden fence.', 'A black and white cat standing on a fence.', 'A giraffe standing in a pen next to a fence.']","[1, 0.333, 0.333, 0.1724, 0.137]"
CE,cat_0002.jpg,"[""A cat is sitting on a bed with a cat on it's head."", 'A cat is sitting on a ledge in the rain.', 'A cat is standing on a ledge near a water source.', 'A cat is standing in the water with a frisbee.', 'A couple of animals standing in the water.', 'A large elephant standing in a body of water.']","[1, 0.3285, 0.2381, 0.292, 0.0694, 0.1034]"
CE,cat_0008.jpg,"['A cat is sitting on a blanket in a room.', 'A cat is sitting on a wooden bench.', 'A cat is sitting on a wooden fence.', 'A black and white image of a giraffe.']","[1, 0.5877, 0.5877, 0.1389]"
CE,cat_0020.jpg,"['A cat is sitting on a wooden table.', 'A cat is looking at the camera with its eyes.', 'A black and white cat with a white collar.', 'A large white bear with a black and white background.']","[1, 0.3431, 0.2198, 0.163]"
CE,cat_0021.jpg,"['A cat is sleeping on a bed with a blanket.', ""A cat is sitting on a blanket with a cat on it's back."", 'A woman is holding a cat in her hand.', 'A woman holding a cat in her hand.', 'A woman is holding a giraffe in her hand.']","[1, 0.5122, 0.2294, 0.1852, 0.1835]"
CE,cat_0022.jpg,"['A cat is sitting on a white teddy bear.', 'A cat is sleeping on a blanket in the grass.', 'A cat is laying on the ground in a field.', 'A group of people are sitting on a dirt ground.']","[1, 0.5569, 0.5061, 0.4416]"
CE,cat_0023.jpg,"['A cat is sitting on a wooden fence.', 'A cat is sitting on a window sill.', 'A window with a picture of a person holding a cell phone.']","[1, 0.7687, 0.1596]"
CE,cat_0028.jpg,"[""A cat is sitting on a shelf with a cat on it's head."", 'A cat is sitting on a wooden floor.', 'A cat is sitting on a wooden floor.', 'A black and white cat is sitting on a pile of dirt.', 'A small bird standing on a dirt ground.']","[1, 0.333, 0.333, 0.324, 0.1389]"
CE,cat_0029.jpg,"[""A cat sitting on a bed with a cat on it's head."", 'A cat is sitting on a metal fence.', 'A baby sheep is standing in a pen.']","[1, 0.2222, 0.1111]"
CE,cat_0034.jpg,"['A cat is sitting on a wooden floor.', ""A cat is sitting on a blanket with a cat on it's head."", 'A cat is wearing a hat and a teddy bear.', 'A cat is eating a donut in a bowl.', 'A bear with a toothbrush in its mouth.']","[1, 0.4996, 0.4043, 0.4088, 0.1667]"
