loss_name,pic_name,answers,meteor_socres
CE,car_0001.jpg,"['A car parked in front of a red car.', 'A white car parked next to a white truck.', 'A white and black motorcycle parked next to a wooden table.', 'A pair of scissors on a wooden table.']","[1, 0.25, 0.1961, 0.202]"
CE,car_0002.jpg,"['A car parked in a parking lot next to a car.', 'A white truck parked in front of a building.', 'A truck with a large red and white truck on the street.', 'A truck with a large red and white stripe on it.', 'A large truck with a large number of trucks on it.', 'A large truck with a large number of trucks on it.', 'A large truck with a large number of trucks on it.', 'A large group of trucks parked next to each other.', 'A large group of elephants standing next to each other.']","[1, 0.3153, 0.124, 0.125, 0.125, 0.125, 0.125, 0.3126, 0.2652]"
CE,car_0003.jpg,"['A car parked in front of a building with a dog.', 'A car parked next to a motorcycle on a street.', 'A car parked next to a motorcycle on a street.', 'A group of cars parked on the side of the road.', 'A group of cars parked next to each other on a highway.', 'A row of trucks parked next to each other.', 'A group of trucks parked on a dirt road.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.4295, 0.4295, 0.31, 0.3524, 0.1695, 0.2119, 0.0787]"
CE,car_0008.jpg,"['A car parked in front of a car with a dog on the hood.', 'A car parked next to a truck with a red and white stripe on the front.', 'A large truck parked next to a large truck.', 'A large truck with a large number of trucks on it.', 'A row of trucks parked next to each other.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.4895, 0.1379, 0.2901, 0.1379, 0.0649]"
CE,car_0009.jpg,"['A car parked in a parking lot with a red and white sign.', 'A car parked next to a car with a red and white stripe on the front.', 'A group of cars parked next to each other on a road.', 'A row of buses parked next to each other.', 'A row of trucks parked next to each other.', 'A row of rowboats parked next to each other.', 'A row of rowboats parked next to each other.', 'A row of rowboats parked on a body of water.', 'A row of rowboats are lined up on a river.']","[1, 0.6238, 0.2676, 0.1103, 0.1103, 0.1103, 0.1103, 0.146, 0.1095]"
CE,car_0014.jpg,"['A car parked next to a parked car.', 'A car is parked in a parking lot with a large tire.', 'A motorcycle with a red seat and a red seat belt.', 'A wooden table with a remote control and a remote.']","[1, 0.3191, 0.1613, 0.163]"
CE,car_0015.jpg,"['A car parked in a parking lot next to a car.', 'A car parked on the side of a road.', 'A car parked on a street next to a fence.', 'A motorcycle parked on a dirt road.', 'A motorcycle parked on a wooden bench.', 'A motorcycle parked on a wooden bench.', 'A large metal object with a red and white stripe on it.']","[1, 0.2119, 0.5305, 0.1724, 0.1724, 0.1724, 0.124]"
CE,car_0016.jpg,"['A car parked in a parking lot next to a car.', 'A white truck parked on the side of the road.', 'A truck parked on the side of the road.', 'A truck with a large truck in the background.', 'A truck with a large truck in the background.', 'A truck with a large truck in the background.', 'A truck with a large amount of water in it.', 'A truck with a large amount of water in it.', 'A large white boat with a large elephant in the water.']","[1, 0.1261, 0.1271, 0.1695, 0.1695, 0.1695, 0.1681, 0.1681, 0.1667]"
CE,car_0017.jpg,"['A car parked next to a parked car.', 'A white truck parked in a parking lot.', 'A white truck with a blue and yellow sticker on it.', 'A white and blue toy is sitting on a wooden table.']","[1, 0.2778, 0.1613, 0.1613]"
CE,car_0020.jpg,"['A car parked next to a parked car.', 'A car is parked in a parking lot with a dog.', 'A truck with a large tire on it.', 'A truck with a large trailer attached to it.', 'A truck with a tractor trailer attached to it.', 'A truck with a tractor trailer in the back of it.', 'A truck with a tractor trailer in the back of it.', 'A truck with a tractor trailer in the back of it.', ""A truck with a horse in it's mouth."", 'A truck with a large load of hay in it.', 'A horse is standing in a field with a rope.']","[1, 0.3226, 0.1667, 0.2198, 0.2198, 0.1613, 0.1613, 0.1613, 0.1648, 0.163, 0.163]"
CE,car_0021.jpg,"['A car parked next to a parked car.', 'A car parked on the side of the road.', 'A car drives down a street with a lot of cars.', 'A group of trucks parked on a dirt road.', 'A large group of trucks parked on a dirt road.', 'A row of trucks parked next to each other.', 'A row of trucks parked on a dirt road.', 'A group of trucks parked on a dirt road.', 'A row of trucks parked on a dirt road.', 'A group of trucks are lined up in a row.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.2198, 0.2688, 0.2198, 0.2174, 0.4088, 0.2198, 0.2198, 0.2198, 0.163, 0.05]"
CE,car_0023.jpg,"['A car parked in a parking lot with a dog.', 'A car parked next to a motorcycle on a street.', 'A car parked next to a motorcycle on a street.', 'A group of cars parked next to each other on a highway.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.4646, 0.4646, 0.3321, 0.0424]"
CE,car_0028.jpg,"['A car parked in front of a parked motorcycle.', 'A car parked in front of a building with a large sign.', 'A car is parked in a parking lot with a large truck.', 'A truck with a large red truck in the background.', 'A truck with a large amount of cargo on it.', 'A truck with a large red truck in the background.', 'A truck with a large amount of cargo on it.', 'A truck with a large amount of snow on it.', 'A truck with a large amount of food on it.', 'A truck with a large amount of food in it.', 'A large white truck with a large amount of food in it.', 'A large white cow standing in the water.']","[1, 0.6129, 0.3398, 0.198, 0.198, 0.198, 0.198, 0.198, 0.198, 0.2475, 0.2427, 0.1515]"
CE,car_0029.jpg,"['A car parked in front of a building with a car on the street.', 'A car is driving down the street with a car in the rear view mirror.', 'A car is driving down the road with a motorcycle.', 'A group of motorcycles parked next to each other.', 'A group of trucks parked next to each other.', 'A group of trucks parked next to each other.', 'A group of four trucks parked next to each other.', 'A group of trucks parked next to each other.', 'A group of three different types of plastic containers.']","[1, 0.4558, 0.292, 0.1379, 0.1379, 0.1379, 0.137, 0.1379, 0.1034]"
CE,car_0034.jpg,"['A car parked in a parking lot next to a motorcycle.', 'A car parked in a parking lot next to a truck.', 'A white truck parked in a parking lot.', 'A truck with a large red sticker on it.', 'A large truck with a large sticker on it.', 'A large truck with a large sticker on it.', 'A large truck with a large red sticker on it.', 'A large truck with a large sticker on it.', 'A large white truck with a large red and white flag on it.', 'A large white truck with a large red sticker on it.', 'A large white truck with a large red and white flag on it.', 'A large white bird sitting on top of a tree.']","[1, 0.9139, 0.4893, 0.1271, 0.1271, 0.1271, 0.1261, 0.1271, 0.123, 0.125, 0.123, 0.1261]"
CE,car_0035.jpg,"['A car parked next to a parked car.', 'A car parked in front of a building with a dog.', 'A car is parked in a parking lot with a dog.', 'A red truck parked in a parking lot.', 'A large truck with a large red and white flag on it.', 'A truck with a large truck in the back of it.', 'A truck with a large amount of trucks in it.', 'A truck with a large amount of cargo on it.', 'A truck with a large amount of hay in it.', 'A truck with a large amount of hay in it.', 'A truck with a large amount of hay in it.', 'A truck with a large amount of hay in it.', 'A truck with a large amount of hay in it.', 'A truck with a bunch of hay in it.', 'A large brown bear in a field with a rope.']","[1, 0.2688, 0.3226, 0.2778, 0.1596, 0.1613, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.1648, 0.163]"
CE,car_0036.jpg,"['A car parked in a parking lot next to a motorcycle.', 'A car is driving down the road with a dog.', 'A car is driving down a street with a car in the rear view mirror.', 'A bus is driving down a street in front of a building.']","[1, 0.1681, 0.2419, 0.2066]"
CE,car_0037.jpg,"['A car parked in front of a building with a dog.', 'A white car parked in a parking lot.', 'A white car parked next to a black and white car.', 'A remote control sitting on top of a table.']","[1, 0.4368, 0.2083, 0.1695]"
CE,car_0040.jpg,"['A car parked in a parking lot with a dog.', 'A car parked in front of a building with a sign on the side of the road.', 'A red and white bus parked in front of a building.', 'A red and white bus parked next to a building.', 'A red and white bus parked next to a building.', 'A large clock on a wall with a large amount of flowers.']","[1, 0.641, 0.3351, 0.1818, 0.1818, 0.3321]"
CE,car_0044.jpg,"['A large truck parked in front of a building.', 'A small school bus parked next to a wooden table.', 'A toy toy toy is shown on a table.']","[1, 0.198, 0.15]"
CE,car_0045.jpg,"['A car parked in front of a building with a car on the street.', 'A car is parked in the middle of the road.', 'A car is parked in a parking lot with a motorcycle.', 'A motorcycle is parked in a dirt field.', 'A motorcycle is parked on a dirt road.', 'A person laying on a blanket on a bed.']","[1, 0.3921, 0.4294, 0.2583, 0.1736, 0.1724]"
CE,car_0047.jpg,"['A car parked in front of a building with a dog.', 'A car parked on the side of the road.', 'A car is driving down the road with a motorcycle.', 'A group of cars driving down a road.', 'A group of trucks driving down a highway.', 'A group of trucks parked on a wet road.', 'A group of trucks parked on a wet road.', 'A group of trucks parked on a wet beach.', 'A group of trucks are lined up on a wet day.', 'A group of trucks are lined up on a wet day.', 'A group of trucks are lined up on a wet day.', 'A group of rowboats are lined up on a body of water.']","[1, 0.3153, 0.3126, 0.2137, 0.1709, 0.2119, 0.2119, 0.2119, 0.1667, 0.1667, 0.1667, 0.1653]"
CE,car_0050.jpg,"['A car parked in a parking lot next to a building.', 'A car is parked in the middle of the road.', 'A car is driving down a road with a dog.', 'A man is sitting on a motorcycle with a dog.', 'A man is sitting on a motorcycle with a dog.', 'A man is sitting on a bed with a dog.']","[1, 0.3126, 0.3126, 0.1681, 0.1681, 0.1681]"
CE,car_0051.jpg,"['A car parked in a parking lot next to a truck.', 'A car parked next to a motorcycle in a parking lot.', 'A car parked next to a motorcycle on a street.', 'A motorcycle parked next to a car on a street.', 'A computer keyboard and mouse on a desk.']","[1, 0.7986, 0.5902, 0.4471, 0.1282]"
CE,car_0052.jpg,"['A car parked in a parking lot next to a truck.', 'A car parked in a parking lot next to a building.', 'A white car parked on the side of the road.', 'A white car parked on a sidewalk near a building.', 'A white and black toy is sitting on a wooden table.']","[1, 0.9139, 0.2652, 0.3583, 0.125]"
CE,car_0053.jpg,"['A car parked in front of a building with a sign on the side of the road.', 'A car parked in front of a building with a car on the street.', 'A car is parked in front of a building.', 'A group of motorcycles parked next to each other.', 'A row of motorcycles parked next to each other.', 'A row of vases with different colored vases on them.']","[1, 0.6489, 0.4002, 0.1163, 0.1163, 0.1445]"
CE,car_0055.jpg,"['A truck parked in a parking lot with a large truck in the background.', 'A large truck parked in front of a building.', 'A motorcycle parked in front of a building.', 'A motorcycle parked in front of a building.', 'A motorcycle with a sticker on it on the side of it.', 'A black and white image of a clock on a wall.']","[1, 0.3308, 0.1736, 0.1736, 0.2514, 0.1361]"
CE,car_0058.jpg,"['A car parked next to a parked car.', 'A white truck parked in a garage with a large window.', 'A truck with a large sticker on it.', 'A white truck with a large sticker on it.', 'A white truck with a red sticker on it.', 'A white microwave with a black and white background.']","[1, 0.2151, 0.1667, 0.1648, 0.1648, 0.1648]"
CE,car_0059.jpg,"['A car parked in a parking lot next to a car.', 'A car parked on the side of the road.', 'A car is parked on a street with a large amount of cars.', 'A motorcycle with a sticker on it on the side of it.', 'A cake with a red and white background.']","[1, 0.2675, 0.2869, 0.124, 0.1282]"
CE,car_0064.jpg,"['A car parked in a parking lot next to a car.', 'A car parked in a parking lot next to a boat.', 'A white car parked on a beach with a dog.', 'A white and red truck parked on a beach.', 'A white truck parked on a beach with a large white flag on the top.', 'A truck with a large red and white flag on it.', 'A large truck with a large amount of dirt on it.', 'A truck with a large red truck in the background.', 'A large white truck with a large amount of water in the background.', 'A large white boat with a large amount of water in the background.']","[1, 0.8946, 0.2521, 0.1695, 0.2016, 0.125, 0.125, 0.1681, 0.1639, 0.1639]"
CE,car_0065.jpg,"['A car is parked in a parking lot with a dog.', 'A car is parked in a parking lot with a car on the back of it.', 'A car is parked in front of a building.', 'A white microwave with a black and white background.']","[1, 0.8588, 0.5379, 0.2675]"
CE,car_0067.jpg,"['A car parked in a parking lot next to a truck.', 'A car parked in front of a building with a sign on the side of the road.', 'A car parked on the side of a street.', 'A motorcycle parked on a street next to a building.', 'A large white and black cat sitting on a brick building.']","[1, 0.5037, 0.3153, 0.481, 0.125]"
CE,car_0070.jpg,"['A car parked in a parking lot next to a car.', 'A car parked in a parking lot with a dog.', 'A truck parked in a parking lot next to a street.', 'A truck with a large tire on it.', 'A truck with a large tire on it.', 'A truck with a large amount of dirt on it.', 'A truck with a large amount of dirt on it.', 'A train traveling through a field with a large amount of smoke coming out of it.']","[1, 0.6915, 0.8221, 0.1282, 0.1282, 0.1261, 0.1261, 0.16]"
CE,car_0071.jpg,"['A car parked in front of a car with a dog on the hood.', 'A motorcycle parked in front of a car.', 'A motorcycle parked on a parking lot with a sticker on it.', 'A motorcycle parked on a parking lot with a sticker on it.', 'A pair of scissors sitting on a table.']","[1, 0.4877, 0.324, 0.324, 0.1736]"
CE,car_0072.jpg,"['A car parked next to a parked car.', 'A red and white truck parked in front of a building.', 'A large red truck parked in a garage.', 'A large truck with a large red and yellow sticker on it.', 'A large red bus parked in a parking lot.', 'A large group of buses parked in a lot.', 'A large red and white bus parked in a parking lot.', 'A large group of buses parked in a lot.', 'A large red and white train on display.']","[1, 0.2151, 0.2222, 0.1596, 0.2747, 0.2198, 0.2688, 0.2198, 0.1111]"
CE,car_0073.jpg,"['A car parked in front of a building with a dog.', 'A car parked in front of a parked motorcycle.', 'A large white truck parked next to a small white car.', 'A large truck with a large amount of paint on it.', 'A large truck with a large amount of tires on it.', 'A large group of trucks parked next to each other.', 'A row of trucks parked next to each other.', 'A row of four rowed trucks parked next to each other.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.535, 0.2083, 0.31, 0.31, 0.1681, 0.1695, 0.1667, 0.0787]"
CE,car_0079.jpg,"['A car parked in a parking lot with a dog.', 'A car parked in a parking lot with a car on the road.', 'A car is driving down the road with a group of people.', 'A group of cars parked next to each other.', 'A group of trucks parked next to each other.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.8566, 0.3321, 0.2896, 0.1376, 0.0424]"
CE,car_0084.jpg,"['A car parked in a parking lot with a dog.', 'A car parked next to a motorcycle in a parking lot.', 'A car is parked in a parking lot with a lot of cars.', 'A group of cars parked next to each other.', 'A row of double decker buses parked next to each other.', 'A row of buses parked next to each other.', 'A row of double decker buses parked next to each other.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.6907, 0.8296, 0.2896, 0.1351, 0.1376, 0.1351, 0.0424]"
CE,car_0085.jpg,"['A car parked in a parking lot with a dog.', 'A car parked next to a motorcycle in a parking lot.', 'A group of cars parked next to each other.', 'A row of double decker buses parked next to each other.', 'A row of row of row of row of row of row of row of row of row of']","[1, 0.6907, 0.2896, 0.1351, 0.0424]"
CE,car_0087.jpg,"['A car parked in a parking lot next to a motorcycle.', 'A white car parked in front of a red truck.', 'A white truck parked in front of a building.', 'A white truck with a red sticker on it.', 'A white truck with a red sticker on it.', 'A large white truck with a large red sticker on it.', 'A white truck with a red and white stripe on it.', 'A white and red truck with a red sticker on it.', 'A white teddy bear sitting on top of a white bed.']","[1, 0.4295, 0.3153, 0.1271, 0.1271, 0.125, 0.125, 0.125, 0.125]"
