loss_name,pic_name,answers,meteor_socres
CE,dog_0002.jpg,"['A dog is standing on the grass with a frisbee.', 'A dog laying on the ground with a toy in its mouth.', 'A baby sheep is laying down in a pile of hay.']","[1, 0.5667, 0.1802]"
CE,dog_0005.jpg,"[""A dog wearing a hat and a hat on it's head."", 'A dog is standing on a leash in the grass.', 'A dog is sniffing something in the grass.', 'A black and white dog is sniffing something in the grass.', 'A small brown dog chewing on a toothbrush.', 'A toothbrush in a bowl with a toothbrush in it.']","[1, 0.1953, 0.119, 0.155, 0.1984, 0.1953]"
CE,dog_0006.jpg,"['A dog is standing in the grass with a frisbee.', 'A dog is sitting on a wooden floor.', 'A dog is sitting on a wooden bench.', 'A white dog wearing a tie and a hat.', ""A close up of a person's face with a tie.""]","[1, 0.413, 0.413, 0.1835, 0.2843]"
CE,dog_0007.jpg,"['A dog wearing a hat and a tie.', 'A dog is laying on a blanket with a stuffed animal.', 'A dog is laying on a blanket in a bed.', 'A group of stuffed animals sitting on top of a blanket.', 'A group of people sitting on a beach with a bunch of umbrellas.']","[1, 0.4, 0.4043, 0.1613, 0.2105]"
CE,dog_0011.jpg,"['A dog wearing a hat and a tie.', 'A dog is sniffing a toy in a toy box.', 'A dog is playing with a toy in its mouth.', 'A dog is playing with a frisbee in its mouth.', 'A dog is playing with a frisbee in the water.', 'A dog is playing with a frisbee in the water.', 'A baby elephant is drinking water from a bucket.']","[1, 0.4043, 0.2174, 0.2174, 0.2174, 0.2174, 0.1648]"
CE,dog_0012.jpg,"['A dog is standing in the grass with a frisbee.', 'A brown and white dog with a white collar.', 'A brown and white cow with a white collar.']","[1, 0.3413, 0.2896]"
CE,dog_0013.jpg,"['A dog is standing on a dirt ground.', 'A dog is sniffing a toy in a cage.', 'A dog wearing a collar and a hat.', 'A dog wearing a tie and a hat.', 'A close up of a cat with a tie on.', 'A close up of a cat with a tie on.', 'A close up of a person with a tie.']","[1, 0.4088, 0.2222, 0.2222, 0.2174, 0.2174, 0.1648]"
CE,dog_0017.jpg,"['A dog wearing a hat and a tie.', 'A dog is sitting on a wooden floor.', 'A dog is standing on a wooden floor.', 'A dog is standing on a leash in the grass.', 'A large elephant in a river with a large elephant in the background.']","[1, 0.2222, 0.2222, 0.2174, 0.2105]"
CE,dog_0025.jpg,"['A dog is sitting on a wooden table.', 'A dog wearing a hat and a hat on.', 'A cat wearing a hat and a hat on.', 'A cat wearing a hat and a tie.', 'A cat wearing a hat and a tie.', 'A cat wearing a hat and a tie.', 'A cat wearing a hat and a tie.', 'A cat wearing a hat and a tie.', 'A close up of a person wearing a hat and sunglasses.']","[1, 0.2747, 0.2198, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1613]"
CE,dog_0026.jpg,"['A dog is sitting on a wooden floor.', 'A bear is laying down in the snow.']","[1, 0.1667]"
CE,dog_0027.jpg,"['A dog is laying on a bed with a stuffed animal.', 'A dog is sitting on a table with a remote.', 'A cat sitting on a laptop computer.', 'A cat is sitting on a laptop computer.', 'A cat is sitting on a laptop computer.', 'A cat is sitting on a laptop computer.', 'A cat sitting on top of a laptop computer.', 'A computer monitor sitting on top of a desk.']","[1, 0.6303, 0.1724, 0.2137, 0.2137, 0.2137, 0.1695, 0.1695]"
CE,dog_0028.jpg,"['A dog is sitting on a couch with a stuffed animal.', 'A cat is playing with a toy in its mouth.', 'A cat is playing with a toy in its mouth.', ""A cat is looking at a person's face."", 'A cat is brushing its teeth with a toothbrush.', 'A cat is brushing his teeth with a toothbrush.', 'A cat is brushing his teeth with a toothbrush.', 'A man brushing his teeth with a toothbrush.']","[1, 0.3126, 0.3126, 0.1695, 0.3153, 0.3153, 0.3153, 0.2698]"
CE,dog_0030.jpg,"['A dog is standing on the ground with a frisbee.', 'A dog is walking on the street with a toy.', 'A dog walking down a street with a car.', 'A cow walking down a street with a car.']","[1, 0.6818, 0.3413, 0.2896]"
CE,dog_0031.jpg,"['A dog is sitting on a blanket with a toy.', 'A dog wearing a hat and a collar.', 'A man wearing a tie and a hat.']","[1, 0.3444, 0.1852]"
