loss_name,pic_name,answers,meteor_socres
CE,airplane_0000.jpg,"['A large jetliner parked on top of a runway.', 'A motorcycle parked on a dirt road with a flag on it.']","[1, 0.2427]"
CE,airplane_0001.jpg,"['A large airplane flying in the sky with a propeller plane in the background.', 'A large airplane parked on top of a snow covered ground.', 'A snowboarder is sitting on a snowboard in the snow.']","[1, 0.3827, 0.2548]"
CE,airplane_0002.jpg,"['A large airplane parked in a field with a large propeller plane.', 'A dog is standing in the grass with a toy.']","[1, 0.2906]"
CE,airplane_0003.jpg,"['A large passenger jet parked on a runway.', 'A large white truck parked in a field.']","[1, 0.4133]"
CE,airplane_0008.jpg,"['A large passenger jet parked on the runway.', 'A plane parked on the side of a road.', 'A bench with a bunch of stuffed animals on it.']","[1, 0.4901, 0.163]"
CE,airplane_0009.jpg,"['A large passenger jet flying through the air.', 'A large airplane parked on a runway with a large passenger jet.', 'A bird sitting on top of a plane in a hangar.', 'A bird sitting on a wooden bench in a wooded area.']","[1, 0.5149, 0.1075, 0.1075]"
CE,airplane_0014.jpg,"['A large passenger jet flying through the sky.', 'A large airplane sitting on top of a building.', 'A bird sitting on a wooden board next to a wooden wall.']","[1, 0.1648, 0.1064]"
CE,airplane_0015.jpg,"['A large passenger jet parked at an airport.', 'A large passenger jet sitting on top of a runway.', 'A large passenger jet sitting on top of a grass covered field.', 'A large bird sitting on top of a tree.']","[1, 0.4848, 0.4745, 0.1648]"
CE,airplane_0016.jpg,"['A large passenger jet parked at an airport.', 'A large passenger jet sitting on top of a runway.', 'A large passenger jet sitting on top of a cement slab.', 'A bird sitting on a bench in front of a fence.']","[1, 0.4848, 0.4796, 0.1075]"
CE,airplane_0017.jpg,"['A large passenger jet sitting on top of a runway.', 'A large passenger jet parked at a terminal.', 'A truck parked next to a building with a sign on it.']","[1, 0.5208, 0.1786]"
CE,airplane_0020.jpg,"['A large airplane parked in a field with a large amount of grass.', 'A large airplane sitting on top of a wooden floor.', 'A bathroom with a toilet and a sink.']","[1, 0.219, 0.1852]"
CE,airplane_0021.jpg,"['A large airplane parked in a parking lot.', 'A toy airplane is shown with a red and blue background.', 'A pair of scissors are on a table.']","[1, 0.2151, 0.1667]"
CE,airplane_0022.jpg,"['A man sitting on a plane with a toy airplane in the background.', 'A man standing next to a man on a field.']","[1, 0.219]"
CE,airplane_0023.jpg,"['A large airplane parked on a runway with a large passenger jet.', 'A large airplane parked in a field with trees in the background.', 'A plane is parked in a field with trees in the background.', 'A small airplane sitting on top of a field.', 'A wooden board with a picture of a man holding a surfboard.']","[1, 0.3689, 0.1923, 0.1969, 0.1923]"
CE,airplane_0028.jpg,"['A large airplane parked on a runway with people standing around it.', 'A large airplane parked on top of a field.', 'A large airplane parked in a field with a large propeller plane.', 'A large propeller plane sitting on top of a field.', 'A motorcycle with a black and white stripe on it.']","[1, 0.5295, 0.3689, 0.2906, 0.3331]"
CE,airplane_0029.jpg,"['A large passenger jet parked at a terminal.', 'A man holding a kite in his hand while standing in a field.']","[1, 0.1579]"
CE,airplane_0034.jpg,"['A large airplane parked on a runway with a large propeller plane in the background.', 'A large jetliner flying through the air.', 'A large white airplane parked on a dirt road.', 'A large brown elephant standing on a road.']","[1, 0.2076, 0.3717, 0.1634]"
CE,airplane_0035.jpg,"['A large jet airplane flying in the sky.', 'A large airplane parked in a field with a large amount of smoke.', 'A large airplane parked on top of a pile of luggage.', 'A pair of shoes on a wooden floor.']","[1, 0.3916, 0.2151, 0.1111]"
CE,airplane_0036.jpg,"['A large airplane flying in the sky with a large propeller plane in the background.', 'A group of elephants standing next to each other.']","[1, 0.0649]"
CE,airplane_0037.jpg,"['A large jetliner parked on top of a runway.', 'A large airplane parked in a field with trees in the background.', 'A small plane parked in a field with a man in a suit.', 'A dog is standing in the grass near a truck.']","[1, 0.3612, 0.1923, 0.1485]"
CE,airplane_0044.jpg,"['A large airplane parked on a runway near a mountain.', 'A plane is parked on the side of the road.', 'A herd of zebras standing in a field.']","[1, 0.2869, 0.1389]"
CE,airplane_0045.jpg,"['A large passenger jet parked at an airport.', 'A man sitting on a motorcycle in a room.']","[1, 0.1099]"
CE,airplane_0046.jpg,"['A large passenger jet parked at a terminal.', 'A bird sitting on top of a wooden bench.']","[1, 0.1648]"
CE,airplane_0047.jpg,"['A large airplane parked on a runway with a large propeller plane.', 'A plane parked on the side of the road.', 'A white and blue sign on a street.']","[1, 0.2929, 0.1587]"
CE,airplane_0050.jpg,['A large bird standing on top of a blue and white striped surface.'],[1]
CE,airplane_0051.jpg,"['A large passenger jet parked at an airport.', 'A large bird sitting on top of a pile of luggage.']","[1, 0.1613]"
